"States","t","totalPopulation","totalLaborForce","perCapitaGDP"
"Massachusetts",2002,6417206,3431082,55021
"Michigan",2002,10015710,5017141,42054
"Minnesota",2002,5018935,2859602,48572
"Mississippi",2002,2858681,1286236,29150
"Missouri",2002,5674825,3000908,41348
"Montana",2002,911667,467203,32802
"Nebraska",2002,1728292,954224,43012
"Nevada",2002,2173791,1129668,47925
"New Hampshire",2002,1269089,702280,43903
"New Jersey",2002,8552643,4346237,54313
"New Mexico",2002,1855309,874496,38676
"New York",2002,19137800,9275515,54177
"North Carolina",2002,8326201,4184713,42607
"North Dakota",2002,638168,340631,38040
"Ohio",2002,11407889,5852985,42613
"Oklahoma",2002,3489080,1686568,35305
"Oregon",2002,3513424,1835325,37916
"Pennsylvania",2002,12331031,6218643,43153
"Rhode Island",2002,1065995,550256,42917
"South Carolina",2002,4107795,1949135,36670
"South Dakota",2002,760020,417517,40794
"Tennessee",2002,5795918,2906591,40084
"Texas",2002,21690325,10748810,45381
"Utah",2002,2324815,1184751,39134
"Vermont",2002,615442,343139,38218
"Virginia",2002,7286873,3726468,47854
"Washington",2002,6052349,3082839,49058
"West Virginia",2002,1805414,799998,32266
"Wisconsin",2002,5445162,3024319,42530
"Wyoming",2002,500017,269546,53786
"Alabama",2003,4503491,2120225,35374
"Arizona",2003,5510364,2736000,40763
"Arkansas",2003,2724816,1271696,33792
"California",2003,35253159,17277618,49815
"Colorado",2003,4528732,2486229,49838
"Connecticut",2003,3484336,1784260,60848
"Delaware",2003,818003,415160,63863
"District of Columbia",2003,568502,306422,155044
"Florida",2003,17004085,8210696,40364
"Georgia",2003,8622793,4394437,45015
"Idaho",2003,1363380,690005,34383
"Illinois",2003,12556006,6300221,49579
"Indiana",2003,6196638,3182988,42222
"Iowa",2003,2941999,1606798,41762
"Kansas",2003,2723004,1437027,41414
"Kentucky",2003,4117170,1960045,36949
"Louisiana",2003,4521042,2018324,43636
"Maine",2003,1306513,683535,37783
"Maryland",2003,5496269,2882219,48920
"Massachusetts",2003,6422565,3422409,56337
"Michigan",2003,10041152,5027859,42768
"Minnesota",2003,5053572,2874663,50149
"Mississippi",2003,2868312,1301250,30212
"Missouri",2003,5709403,3020821,42089
"Montana",2003,919630,471489,33915
"Nebraska",2003,1738643,964258,45401
"Nevada",2003,2248850,1147036,48498
"New Hampshire",2003,1279840,707524,45403
"New Jersey",2003,8601402,4347154,55304
"New Mexico",2003,1877574,889730,39482
"New York",2003,19175939,9263401,54161
"North Carolina",2003,8422501,4255631,43098
"North Dakota",2003,638817,344676,40429
"Ohio",2003,11434788,5872372,43223
"Oklahoma",2003,3504892,1685572,35822
"Oregon",2003,3547376,1845544,38985
"Pennsylvania",2003,12374658,6170359,43853
"Rhode Island",2003,1071342,560483,44491
"South Carolina",2003,4150297,1997977,37550
"South Dakota",2003,763729,423035,41738
"Tennessee",2003,5847812,2912187,40915
"Texas",2003,22030931,10914664,44959
"Utah",2003,2360137,1200236,39383
"Vermont",2003,617858,345971,39662
"Virginia",2003,7366977,3753703,49095
"Washington",2003,6104115,3127404,49457
"West Virginia",2003,1812295,786552,32246
"Wisconsin",2003,5479203,3053642,43553
"Wyoming",2003,503453,273620,54908
"Alabama",2004,4530729,2136458,37181
"Arizona",2004,5652404,2796269,41169
"Arkansas",2004,2749686,1300318,35021
"California",2004,35574576,17383631,51424
"Colorado",2004,4575013,2532361,50234
"Connecticut",2004,3496094,1774193,64579
"Delaware",2004,830803,420384,67008
